carat,cut,color,clarity,depth,table,price,x,y,z,logprice
0.7,Premium,E,SI2,62,60,2257,5.64,5.61,3.47,7.721791776817535
1.01,Premium,D,SI1,62.8,59,5443,6.38,6.32,3.99,8.6020856584342
0.65,Ideal,H,VVS1,61.5,56,2404,5.58,5.59,3.45,7.784889295655098
0.44,Ideal,D,VS1,62.3,55,1235,4.88,4.84,3.03,7.118826249062078
1.04,Very Good,G,SI1,62,56,5037,6.49,6.52,4.02,8.52456594574565
0.71,Fair,G,SI1,65.9,56,2345,5.54,5.46,3.63,7.76004068088038
0.58,Ideal,G,VS1,62.6,54,1899,5.3,5.34,3.32,7.549082710812286
1.5,Premium,I,VVS2,62.4,59,10873,7.3,7.32,4.54,9.29403793099775
0.71,Premium,E,SI2,62.1,60,2256,5.72,5.65,3.53,7.721348612617949
0.89,Good,D,VS1,64.8,52,5980,6.07,6.12,3.93,8.696175846944678
0.42,Premium,F,VS1,62.7,61,1103,4.78,4.79,2.99,7.005789019253503
0.56,Premium,E,VS2,61.1,58,1915,5.31,5.26,3.24,7.557472901614746
0.43,Premium,F,VS2,61,57,1024,4.86,4.83,2.97,6.931471805599453
0.3,Ideal,D,VS2,62.9,56,911,4.3,4.28,2.69,6.814542897259958
1.63,Premium,I,SI1,61.5,62,9209,7.56,7.62,4.67,9.127936545721367
1.01,Good,G,VS2,63.9,59,6109,6.29,6.34,4.05,8.717518372649767
1.2,Ideal,F,SI2,61.1,57,4631,6.86,6.87,4.18,8.440528106480752
0.53,Very Good,E,VVS2,63.1,54,2146,5.23,5.15,3.24,7.671360923190644
0.39,Ideal,F,SI2,61.3,55,648,4.71,4.65,2.9,6.473890696352274
0.46,Very Good,D,VS2,61.2,56,1075,4.94,4.99,3.05,6.980075940561763
1.01,Premium,G,SI1,62.2,59,4064,6.44,6.39,3.98,8.309922989258318
0.6,Ideal,E,VS1,59.6,59,2171,5.52,5.45,3.28,7.682943169878292
0.9,Premium,F,SI1,61.2,58,4158,6.22,6.24,3.79,8.332789468417959
0.61,Ideal,F,VVS2,61.1,56,3248,5.51,5.5,3.37,8.085794701281568
0.3,Ideal,I,VVS1,62,56,756,4.31,4.34,2.68,6.628041376179533
1.21,Ideal,H,SI1,62.7,59,5490,6.74,6.83,4.24,8.610683534503575
0.31,Premium,F,VS2,62.9,59,802,4.33,4.29,2.73,6.687108607866515
0.31,Premium,E,VS2,61.7,58,872,4.37,4.32,2.67,6.77078942390898
0.75,Very Good,F,VS1,61.9,57,3226,5.83,5.85,3.62,8.078998258685154
0.31,Ideal,I,VS1,61.9,54.5,507,4.38,4.39,2.7,6.2285110035911835
1.58,Ideal,I,SI2,60.9,58,7775,7.56,7.5,4.59,8.958668737047434
0.47,Good,I,VS1,63.1,56,935,4.92,4.91,3.13,6.840546529288687
1.32,Ideal,G,VVS2,61.3,57,11419,7.04,7.05,4.31,9.343033913701648
1.1,Premium,G,SI1,58.4,62,4235,6.84,6.6,3.94,8.351138607086154
0.38,Very Good,I,VVS1,62.6,57,809,4.57,4.61,2.89,6.695798917058491
0.41,Ideal,G,IF,62.4,54,1431,4.78,4.82,3,7.266128779556451
1.38,Ideal,G,VVS1,61.8,57,15134,7.11,7.16,4.41,9.624699147254466
0.27,Ideal,E,VVS2,62,55,799,4.15,4.12,2.57,6.683360945766275
1.51,Fair,I,VS2,64.7,58,7577,7.18,7.21,4.64,8.932872621931374
0.38,Premium,D,SI1,59.7,59,941,4.68,4.64,2.8,6.846943139585379
0.7,Good,H,SI1,63.7,59,2176,5.58,5.67,3.56,7.685243607975833
0.33,Ideal,E,VS2,62.1,56,928,4.46,4.44,2.78,6.833031732786201
0.4,Very Good,D,VVS2,62.5,54,1232,4.7,4.73,2.94,7.116394144093465
1.06,Ideal,F,I1,60.7,57,3172,6.58,6.61,3.98,8.06211758275474
1.15,Ideal,G,VVS2,62.1,55.1,8773,6.74,6.69,4.17,9.079434102128383
1.07,Ideal,H,SI1,61.1,57,5031,6.67,6.61,4.04,8.523374050491318
1.24,Premium,F,VS1,58,62,10138,7.44,7.41,4.09,9.224046019032295
0.71,Ideal,J,VVS2,60.5,58,2226,5.76,5.79,3.47,7.70796153183549
1,Ideal,G,VVS2,62.6,54,8034,6.39,6.45,3.99,8.991437814919227
1.5,Very Good,E,SI2,62.2,60,8810,7.27,7.3,4.53,9.083642718930225
0.9,Very Good,G,VS2,60.2,58,4210,6.22,6.26,3.76,8.345217926676428
0.34,Very Good,H,VS2,62,56,552,4.48,4.5,2.78,6.313548046277095
1,Good,E,VS2,63.1,57,6272,6.37,6.4,3.98,8.743850562030243
1.08,Good,E,SI1,57.6,60,6275,6.72,6.64,3.93,8.744328763999984
0.31,Ideal,E,VS1,60.9,57,734,4.41,4.41,2.67,6.598509028614515
0.23,Very Good,D,VS2,63.5,55,571,3.92,3.88,2.48,6.3473892096560105
0.5,Ideal,E,VVS2,62.4,57,2889,5.09,5.07,3.16,7.968665700466235
0.31,Ideal,E,SI1,62.7,57,544,4.31,4.34,2.7,6.298949246855942
1.5,Premium,H,SI1,61.4,58,10080,7.38,7.32,4.52,9.21830854162536
1.01,Good,D,SI1,58.4,62,5546,6.51,6.53,3.82,8.620832226175724
1.01,Good,I,VS2,63.9,56,4239,6.26,6.22,4.02,8.352082671352637
0.3,Ideal,F,VS2,61.3,56,776,4.34,4.31,2.65,6.654152520183219
2.05,Very Good,G,SI2,62.7,56,17012,8.06,8,5.11,9.741674256373525
0.34,Ideal,G,VS2,62.1,57,598,4.46,4.5,2.79,6.393590753950631
0.59,Ideal,D,SI1,61.8,56,1743,5.39,5.37,3.33,7.463363045520021
0.5,Premium,D,SI1,62.2,58,1279,5.09,5.11,3.15,7.153833801578843
1.3,Ideal,I,SI1,62.1,58,5771,6.98,6.88,4.33,8.660600654710967
0.39,Premium,E,VVS2,61.1,60,1300,4.72,4.69,2.89,7.170119543449628
2.02,Premium,F,SI2,60.1,58,18117,8.29,8.32,4.94,9.80460600297601
1.08,Ideal,H,SI2,60,59,4455,6.72,6.67,4.02,8.40178233990491
0.34,Ideal,G,VS2,61.5,55,579,4.54,4.48,2.78,6.361302477572996
1.53,Ideal,H,SI2,61.3,56.1,9562,7.52,7.48,4.57,9.165552189186048
0.9,Very Good,H,VS1,63,61,4136,6.07,6.1,3.85,8.327484416188264
1,Very Good,G,VVS2,61.6,61,7163,6.35,6.36,3.89,8.876684166614451
0.52,Very Good,E,SI2,60.7,56,1173,5.19,5.23,3.17,7.067319848653476
0.51,Ideal,G,SI2,61.5,56,1191,5.14,5.14,3.17,7.0825485693553
2.04,Premium,H,SI2,62.6,59,15949,8.11,8.06,5.07,9.677151410322754
0.36,Ideal,E,VS1,61.8,56,829,4.58,4.57,2.83,6.720220155135295
1.32,Ideal,I,SI1,62.3,58,6513,7.02,7.02,4.36,8.781555458546402
0.31,Premium,J,VS2,62.5,60,380,4.29,4.35,2.7,5.940171252720432
0.4,Premium,F,VS1,62.4,58,1050,4.69,4.67,2.94,6.956545443151569
1.51,Very Good,E,VS2,62.4,58,13623,7.25,7.29,4.53,9.51951481976606
2.01,Fair,G,VS2,67.6,55,18574,7.75,7.7,5.2,9.829518032335953
1.07,Ideal,E,SI2,61.4,56,4799,6.61,6.59,4.07,8.476162841858246
1.51,Ideal,I,VS1,63.2,54.3,10164,7.28,7.26,4.6,9.226607344440055
1.04,Ideal,E,SI2,61.4,55,4987,6.54,6.5,4.01,8.514589805546123
0.43,Ideal,E,VVS2,60.8,57,1187,4.88,4.88,2.97,7.079184394609668
0.46,Good,F,SI2,63.8,59,867,4.8,4.77,3.08,6.7650389767805414
0.35,Ideal,E,VS2,63.5,54,928,4.48,4.53,2.83,6.833031732786201
0.8,Very Good,H,SI1,63.2,55,2553,5.91,5.97,3.74,7.845024417241484
0.3,Ideal,D,VS2,62.8,56,710,4.28,4.25,2.68,6.565264970035361
0.55,Ideal,F,VS1,60.3,55,1896,5.32,5.35,3.23,7.547501682814967
2.11,Ideal,J,VS2,62.2,54,14933,8.23,8.18,5.08,9.61132880805727
1.05,Very Good,H,SI1,59.5,59,4692,6.56,6.61,3.94,8.453614209773367
0.95,Premium,I,SI1,58.4,59,2475,6.48,6.41,3.76,7.813995675002791
0.33,Very Good,D,SI1,63.1,57,728,4.36,4.42,2.77,6.590301048196686
0.58,Ideal,E,VS2,60.9,57,1984,5.41,5.39,3.3,7.592870287844818
1.2,Ideal,F,VS2,62.1,55,8796,6.79,6.87,4.2,9.082052351674651
0.34,Ideal,E,VS2,61.8,55,696,4.49,4.51,2.77,6.54534966033442
0.71,Ideal,F,VVS1,60.8,56,4362,5.8,5.78,3.54,8.380685946761574
1.11,Premium,I,VS2,62,58,4321,6.66,6.6,4.13,8.371242135931933
0.3,Premium,H,VVS2,61.5,58,802,4.31,4.28,2.64,6.687108607866515
0.41,Very Good,D,VVS2,62.6,55,1181,4.78,4.75,2.98,7.074116816197362
0.55,Premium,E,SI1,62.4,56,1668,5.26,5.23,3.27,7.419380582918692
0.31,Ideal,D,VS2,62.1,55,734,4.34,4.37,2.7,6.598509028614515
0.51,Ideal,E,SI2,62.7,57,1265,5.12,5.05,3.19,7.142827401161621
0.24,Very Good,G,VVS2,60.4,58,431,4.01,4.04,2.42,6.066108090103747
1.25,Ideal,H,SI2,62.2,55,5932,6.91,6.9,4.28,8.688116703257823
0.9,Good,G,SI1,64.5,57,3615,6.12,6.07,3.94,8.192847134592865
0.31,Very Good,G,SI1,61.9,57,462,4.34,4.39,2.69,6.135564891081739
0.53,Ideal,F,VVS2,60.8,57,2168,5.25,5.27,3.2,7.681560362559537
1.17,Ideal,I,SI2,62.2,56,3800,6.68,6.71,4.16,8.242756345714477
1.02,Ideal,H,SI1,61.7,59,5418,6.46,6.44,3.97,8.59748202264504
0.61,Good,E,VS2,61.3,62,1805,5.4,5.51,3.34,7.498315870766981
1.04,Ideal,F,SI1,59.9,57,5220,6.64,6.59,3.96,8.560252680876685
0.81,Very Good,G,SI2,63.1,59,2259,5.85,5.81,3.7,7.7226775164680035
0.3,Ideal,E,VVS2,62.2,57,766,4.3,4.32,2.68,6.641182169740591
0.58,Ideal,F,VVS2,61.8,54,2360,5.34,5.33,3.32,7.7664168980196555
0.4,Ideal,H,VVS2,62.3,56,1125,4.73,4.76,2.94,7.025538314638521
0.73,Ideal,G,VS1,61.8,56,3572,5.75,5.81,3.56,8.18088094199639
0.7,Premium,E,VS2,60.7,58,2593,5.73,5.68,3.49,7.860570785538664
0.35,Ideal,F,VS2,61.9,54,706,4.52,4.55,2.82,6.559615237493242
0.23,Very Good,E,VVS1,62.6,58,530,3.9,3.95,2.46,6.272877006546167
0.31,Ideal,D,SI1,61.8,55,571,4.36,4.35,2.71,6.3473892096560105
1.01,Premium,G,SI1,62.8,59,5292,6.43,6.37,4.01,8.573951525234847
1.12,Good,I,VS2,63.6,58,5072,6.58,6.59,4.16,8.531490496117062
0.41,Premium,G,VVS1,61,62,1200,4.8,4.82,2.93,7.090076835776092
0.9,Very Good,F,SI1,63.3,60,3992,6.08,5.99,3.86,8.292047637431354
1.02,Premium,D,SI2,59.7,59,4483,6.57,6.5,3.89,8.40804774415544
0.32,Premium,G,VS2,62.6,58,561,4.33,4.35,2.72,6.329720905522696
1.31,Very Good,I,SI2,61,59,4704,7.02,7.09,4.29,8.456168489578463
0.91,Ideal,E,SI2,61.8,56,3723,6.17,6.14,3.82,8.222285073872717
0.56,Very Good,D,VVS1,62.1,57,2945,5.25,5.3,3.27,7.987864096085687
0.53,Ideal,D,VS2,61.4,56,1659,5.22,5.26,3.2,7.413970290190444
0.31,Premium,E,VS1,61.6,59,879,4.38,4.34,2.68,6.778784897685177
0.31,Ideal,E,VS2,61.5,56,872,4.37,4.34,2.69,6.77078942390898
0.9,Very Good,H,VS2,63,57,3878,6.12,6.14,3.85,8.263074835802596
0.63,Premium,E,SI1,61.1,59,1846,5.49,5.45,3.38,7.520776415062797
1.1,Very Good,F,VS2,62.8,54,7501,6.61,6.64,4.14,8.922791623969637
3.5,Very Good,E,I1,63.3,58,12545,8.99,8.93,6.03,9.437077458800523
0.3,Premium,I,VS1,62,59,473,4.28,4.31,2.66,6.159095388491933
0.53,Good,E,VVS2,63.4,55,2211,5.15,5.2,3.26,7.701200180857446
0.9,Good,G,SI1,64.5,54,3250,6.12,6.05,3.94,8.086410275323782
0.28,Very Good,H,VS1,61.9,55,449,4.19,4.23,2.59,6.1070228877422545
1.53,Ideal,F,SI1,62.6,55,12616,7.42,7.37,4.63,9.442721128642875
1.2,Very Good,F,VS2,63.5,57,8454,6.74,6.66,4.26,9.042394981126735
1,Very Good,D,SI2,62.5,58,4606,6.31,6.38,3.97,8.43511508038063
0.34,Ideal,E,SI1,60.7,57,501,4.54,4.58,2.73,6.2166061010848646
1.07,Good,F,VS1,62.1,59,7495,6.42,6.45,4.04,8.921991410536698
1.52,Very Good,D,SI1,60.6,62,11595,7.4,7.48,4.49,9.358329249689632
0.4,Ideal,E,VS2,61.9,54.8,912,4.77,4.74,2.95,6.815639990074331
1,Very Good,J,SI2,63.2,62,3293,6.3,6.27,3.98,8.099554282376364
0.71,Premium,G,SI2,60.8,58,2268,5.74,5.77,3.5,7.7266536648476425
0.51,Ideal,E,VS2,60.4,57,1689,5.18,5.19,3.14,7.4318919168078
0.58,Ideal,G,VVS2,62.5,54.2,1889,5.38,5.32,3.33,7.543802867501509
0.3,Premium,H,VS1,62.6,59,545,4.27,4.22,2.67,6.300785794663244
2.02,Premium,J,SI1,60.1,59,12798,8.17,8.24,4.93,9.457044187699406
0.32,Premium,F,VVS2,61.6,58,936,4.41,4.35,2.7,6.841615476477592
1.01,Premium,F,SI1,62.3,56,5861,6.35,6.27,3.97,8.676075516476429
1.07,Ideal,H,SI1,61.5,54,4955,6.6,6.57,4.07,8.508152446764088
1.13,Ideal,D,VVS2,61.6,55,12788,6.67,6.71,4.14,9.456262510179732
0.9,Ideal,G,VVS1,61.9,54,4601,6.23,6.16,3.84,8.434028950155469
0.92,Premium,I,SI1,60.7,59,2475,6.26,6.15,3.79,7.813995675002791
0.31,Premium,G,IF,61.9,59,924,4.39,4.36,2.7,6.828712071641684
1.22,Premium,H,VS1,62.5,59,7445,6.88,6.78,4.27,8.915297945118109
1.51,Premium,D,SI1,61.7,59,13588,7.31,7.3,4.52,9.516942329280475
0.35,Very Good,D,VVS2,59.5,57,893,4.6,4.61,2.74,6.794586580876499
0.42,Ideal,F,VVS1,62,55,1326,4.83,4.82,2.99,7.189922170745808
1.01,Very Good,E,VS2,64,59,6580,6.31,6.28,4.05,8.791790024319363
1,Good,G,VS2,56.7,62,5723,6.58,6.64,3.71,8.652248422409102
1.04,Ideal,F,VVS2,61.7,56,9115,6.5,6.53,4.02,9.117676687112763
2,Good,I,VS1,58.8,65,12923,8.29,8.24,4.86,9.466763948525191
0.54,Good,F,VS1,60.8,57.2,1866,5.27,5.32,3.19,7.531552381407289
0.77,Good,F,SI1,57.9,54,2941,6.07,6.07,3.5,7.9865049385539955
1.22,Ideal,I,SI2,60.6,56,5091,6.93,6.92,4.21,8.535229553902337
1.08,Premium,E,SI2,59.4,61,4607,6.75,6.7,3.97,8.435332164935916
0.59,Ideal,G,SI1,62.3,56,1376,5.4,5.43,3.35,7.226936018493289
0.4,Ideal,G,VS2,61.2,57,870,4.73,4.79,2.89,6.76849321164863
0.39,Very Good,D,VVS2,62.9,56,1030,4.61,4.64,2.91,6.937314081223682
0.35,Very Good,D,SI1,63.3,57,728,4.53,4.51,2.86,6.590301048196686
0.7,Ideal,F,VS1,62.5,56,2475,5.67,5.68,3.57,7.813995675002791
0.3,Premium,E,VS2,60.4,58,844,4.32,4.3,2.62,6.7381524945959574
1.2,Ideal,D,SI1,62.3,55,9317,6.77,6.83,4.24,9.139595967450425
1.72,Premium,H,VS1,62.3,57,13904,7.74,7.71,4.75,9.539931847505173
1.01,Very Good,D,SI2,62.9,58,5265,6.34,6.37,4,8.568836424568076
0.7,Ideal,F,VVS2,61.7,56,4439,5.71,5.75,3.52,8.398184404834035
1.12,Ideal,G,VVS2,62.1,57,9251,6.63,6.64,4.11,9.132486932771318
0.31,Ideal,G,VVS2,61.3,56,687,4.38,4.41,2.68,6.532334292222349
0.32,Good,D,SI1,63.8,55,550,4.35,4.35,2.77,6.309918278226516
0.32,Ideal,D,VS1,61.4,56,790,4.4,4.44,2.72,6.672032945461067
1.32,Premium,J,SI2,60.4,57,5787,7.13,7.11,4.28,8.663369301573839
0.26,Ideal,H,VS1,61.9,56,429,4.08,4.1,2.54,6.061456918928017
0.32,Premium,E,VS2,60.5,58,900,4.46,4.42,2.7,6.802394763324311
0.3,Ideal,E,VS2,61.6,55,658,4.27,4.29,2.65,6.489204931325317
1.2,Good,H,SI2,63.6,52,5221,6.69,6.71,4.28,8.560444233410552
0.92,Fair,F,SI1,60.7,67,3893,6.27,6.3,3.82,8.266935347610456
0.91,Ideal,H,SI1,61.6,59,4587,6.16,6.19,3.8,8.430981494597171
0.34,Ideal,E,IF,62.1,57,1229,4.51,4.48,2.79,7.113956109566034
1.39,Ideal,E,VS2,61,60,11205,7.17,7.15,4.35,9.324115386235027
1.15,Premium,G,VVS2,58.4,60,9068,6.88,6.93,4.13,9.11250701162742
1,Ideal,F,SI2,61.2,57,4829,6.39,6.48,3.93,8.482394685873542
0.5,Good,G,SI2,63.8,55,1031,5.03,4.95,3.18,6.93828448401696
0.29,Ideal,D,VS1,62.6,56,603,4.24,4.3,2.65,6.401917196727186
0.75,Ideal,F,VVS2,61.7,55,3463,5.86,5.82,3.62,8.149890544402423
1.01,Very Good,F,VVS1,62.1,59,9492,6.42,6.47,4,9.158204617555654
0.24,Very Good,E,VVS2,62.2,56,552,3.99,4.05,2.47,6.313548046277095
1.22,Premium,D,VS2,62.6,57,9933,6.86,6.74,4.26,9.203617826215355
0.75,Ideal,I,VS1,63,56,2609,5.8,5.86,3.63,7.866722285136729
1.51,Premium,G,VS1,60.1,59,13720,7.46,7.45,4.49,9.526609901279876
0.38,Ideal,E,VS2,61.5,57,839,4.7,4.71,2.88,6.732210706467206
0.43,Ideal,F,SI1,61.8,56,992,4.87,4.88,3.01,6.899723107284872
0.9,Very Good,D,SI2,62.5,57,3789,6.11,6.14,3.84,8.239857411018601
0.31,Good,E,SI1,63.3,55,544,4.32,4.36,2.75,6.298949246855942
1.22,Premium,G,VVS2,61.2,57,10004,6.85,6.81,4.21,9.21074029199751
0.23,Very Good,G,VVS2,60.4,59,449,3.98,4.08,2.4,6.1070228877422545
0.55,Ideal,D,VS2,61.8,54,2030,5.3,5.25,3.25,7.615791072035833
1.5,Good,I,SI1,64.2,60,8736,7.04,7.05,4.57,9.075207697984686
1.02,Good,E,VS1,63.3,55,7665,6.38,6.41,4.04,8.944419791305915
0.36,Very Good,D,SI1,63.2,58,803,4.57,4.52,2.88,6.688354713946762
2.02,Ideal,I,SI2,62.6,55,13574,8.05,8.05,5,9.515911477263703
2.29,Premium,H,SI2,62.1,59,16241,8.44,8.43,5.18,9.695294188174604
0.31,Ideal,E,VVS1,61.5,56,956,4.34,4.37,2.68,6.862757913051401
0.44,Very Good,J,SI2,61.3,61,974,4.87,4.89,2.97,6.881411303642535
1.01,Premium,H,SI1,62.4,61,4513,6.34,6.31,3.95,8.414717399827001
1.35,Premium,J,SI1,61.2,61,4490,7.11,7.06,4.37,8.4096079807363
0.7,Premium,G,SI2,58,59,2268,5.79,5.77,3.37,7.7266536648476425
0.52,Very Good,I,SI1,62.5,60,1073,5.14,5.17,3.2,6.9782137426306985
1.02,Ideal,F,VVS2,61,57,10049,6.52,6.51,3.96,9.21522840604896
1.03,Ideal,E,SI2,61.7,55,4666,6.46,6.46,4,8.448057452581375
0.32,Premium,F,VS2,61.5,58,645,4.38,4.41,2.73,6.4692503167957724
0.52,Very Good,F,VS2,61.1,56,1550,5.21,5.26,3.2,7.346010209913293
1.01,Very Good,E,VS1,60.9,57,7677,6.41,6.46,3.92,8.945984124827898
1.58,Ideal,H,VS2,61.8,55,12170,7.51,7.51,4.63,9.406729185981574
0.71,Premium,E,SI1,60.8,59,2629,5.75,5.71,3.5,7.874358824729881
0.41,Ideal,E,VVS2,60,57,1304,4.85,4.81,2.9,7.1731917424865985
1.5,Very Good,G,SI2,61.3,58,8095,7.26,7.3,4.45,8.999001866111735
0.3,Premium,E,VS2,61.9,58,658,4.33,4.33,2.66,6.489204931325317
1.03,Premium,H,SI1,61.1,59,5050,6.51,6.46,4,8.527143522269405
0.4,Very Good,E,SI2,63.5,55,798,4.7,4.68,2.99,6.682108597449809
0.32,Ideal,G,VVS2,62.1,57,730,4.33,4.36,2.7,6.593044534142437
0.32,Premium,D,SI2,62.1,58,447,4.38,4.4,2.72,6.102558594613569
0.3,Ideal,G,VS2,62.2,57,526,4.26,4.28,2.67,6.26530121273771
1.09,Very Good,G,VS1,60,57,6982,6.72,6.77,4.02,8.851090687664982
0.31,Very Good,D,SI1,63.3,56,732,4.35,4.31,2.74,6.595780513961311
1.02,Premium,H,VS2,62.5,58,5217,6.44,6.41,4.02,8.559677803022392
1,Ideal,E,SI2,60.7,54,4077,6.43,6.41,3.9,8.313116702819253
0.91,Premium,D,SI2,61,59,3740,6.2,6.11,3.79,8.226840890408578
0.73,Premium,I,VVS2,61.3,60,2600,5.81,5.82,3.56,7.8632667240095735
0.54,Ideal,E,VS2,61.3,55,1639,5.24,5.24,3.23,7.40184157874383
2.06,Premium,G,SI2,61.7,58,15938,8.23,8.15,5.04,9.676461473957694
2.01,Very Good,I,SI2,59.5,58,14027,8.14,8.2,4.87,9.54873932271967
1.25,Ideal,J,VS1,62.7,58,6334,6.8,6.86,4.28,8.753687227098585
0.26,Ideal,E,VVS2,62.2,57,576,4.07,4.09,2.54,6.3561076606958915
1.51,Premium,H,VS2,61.5,58,11464,7.45,7.4,4.51,9.346966969508008
1.15,Premium,G,VVS2,60.8,59,9025,6.77,6.71,4.12,9.107753783201082
0.54,Very Good,E,SI2,63.4,56,1250,5.21,5.23,3.28,7.1308988302963465
0.9,Fair,D,SI2,64.5,59,3384,5.95,6,3.85,8.126813720726114
1.01,Premium,F,SI1,62.6,58,5078,6.41,6.35,4,8.532672762264625
0.39,Very Good,G,VVS2,62.1,58,958,4.62,4.65,2.9,6.86484777797086
0.91,Premium,I,VS2,59.5,62,3620,6.25,6.24,3.74,8.194229304819817
0.31,Premium,F,VS2,62.7,58,802,4.31,4.29,2.71,6.687108607866515
1.07,Premium,G,SI2,58.5,60,4278,6.81,6.68,3.93,8.361240889642351
0.51,Very Good,G,VS1,63.4,56,1621,5.1,5.07,3.23,7.390798521735676
0.34,Premium,D,SI1,59.7,61,803,4.57,4.54,2.72,6.688354713946762
0.34,Premium,G,VS2,61.2,62,743,4.51,4.48,2.75,6.610696044717759
0.31,Ideal,F,IF,61.4,56,914,4.37,4.39,2.68,6.81783057145415
0.78,Very Good,I,SI1,61.8,58,2228,5.87,5.91,3.66,7.708859601047175
0.3,Very Good,H,VS1,63.2,59,698,4.23,4.28,2.68,6.548219102762372
1.05,Premium,E,SI2,59.2,58,4436,6.65,6.7,3.94,8.397508348470257
1.25,Premium,H,VS2,61.9,58,5824,6.89,6.92,4.28,8.669742589876522
1.26,Ideal,H,SI1,62,57,6608,6.9,6.81,4.29,8.796036315200814
1.51,Premium,G,SI1,62.7,56,9954,7.32,7.29,4.61,9.2057297594185
1.29,Premium,H,VS2,61.2,59,7246,7.03,6.98,4.27,8.888204871455022
1.03,Premium,D,SI2,62.3,59,4044,6.42,6.38,4,8.304989580140361
0.37,Ideal,D,VS1,61.1,57,1071,4.68,4.63,2.84,6.976348070447749
0.42,Premium,E,VS2,61,59,958,4.79,4.85,2.92,6.86484777797086
1.29,Ideal,F,VS1,61.9,54,11580,7.08,6.99,4.35,9.357034751126987
0.7,Ideal,I,SI1,61.2,56,2769,5.72,5.78,3.52,7.926241523170962
1.02,Very Good,F,VVS2,59.4,58,8627,6.61,6.58,3.92,9.062652099076578
0.73,Ideal,F,VS1,61.4,55,3820,5.79,5.82,3.58,8.24800570160062
0.92,Fair,H,SI1,69.7,58,2854,5.77,5.8,4.11,7.956476798036782
0.7,Good,E,SI1,59.8,61,2696,5.74,5.8,3.44,7.899524472032198
2.01,Fair,I,SI2,67.7,59,12221,7.67,7.75,5.23,9.410911062438
0.32,Good,I,VS1,63.1,57,648,4.39,4.37,2.76,6.473890696352274
2.01,Premium,G,SI2,62.3,59,13940,8.01,7.96,4.96,9.542517684314515
0.84,Very Good,D,SI1,59.9,57,4205,6.12,6.19,3.69,8.344029572407049
0.32,Ideal,F,VS2,62.4,56,828,4.4,4.38,2.74,6.71901315438526
0.7,Premium,D,SI2,62.8,59,2514,5.62,5.59,3.55,7.829630389150193
0.35,Premium,E,VS1,60.2,58,853,4.54,4.58,2.74,6.748759547491679
0.31,Ideal,G,IF,62.1,54,891,4.39,4.35,2.72,6.792344427470809
1.62,Ideal,G,VS1,61.7,55,15246,7.53,7.58,4.67,9.632072452548218
0.54,Ideal,F,VS2,61.9,55,1709,5.24,5.26,3.25,7.443663683115591
0.23,Premium,E,VVS1,61.8,58,680,3.94,3.95,2.43,6.522092798170152
2.14,Premium,I,VS2,60.7,61,16768,8.41,8.36,5.17,9.727227587120769
0.71,Very Good,G,VS2,60.4,59,2766,5.73,5.77,3.48,7.925157512224703
0.76,Ideal,J,VS2,61.8,54,2026,5.85,5.91,3.63,7.613818684808629
0.23,Good,D,VVS1,56.3,62,498,4.12,4.18,2.37,6.210600077024653
